,Unnamed: 0,Application_ID,Python (out of 3),R Programming (out of 3),Deep Learning (out of 3),PHP (out of 3),MySQL (out of 3),HTML (out of 3),CSS (out of 3),JavaScript (out of 3),AJAX (out of 3),Bootstrap (out of 3),MongoDB (out of 3),Node.js (out of 3),ReactJS (out of 3),Other skills
34,34,ML0035,3,3,3,0,2,2,2,1,0,2,0,0,0,"Artifical Intelligence, Data Analytics, Deep Learning, MS-Excel, Machine Learning, Python, R Programming"
35,35,ML0036,0,0,0,0,0,0,0,0,0,0,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), SPSS, Data Analytics, Database Management System (DBMS), MS-Excel, Machine Learning, Report Writing, Adobe Photoshop, PHP, WordPress"
36,36,ML0037,2,0,0,1,2,1,2,0,0,2,0,0,0,"Django, MS-Excel, Machine Learning, Python, SQL"
37,37,ML0038,2,0,2,2,0,2,2,2,0,0,0,0,0,"Data Structures, Artifical Intelligence, Database Management System (DBMS), Deep Learning, J2EE, Java, Machine Learning, Python"
38,38,ML0039,1,0,0,2,3,3,2,2,0,2,0,2,0,"C Programming, MS-Office, Bootstrap, C++ Programming, Data Structures, English Proficiency (Spoken), HTML, MySQL, PHP, Python"
39,39,ML0040,2,0,0,0,0,0,0,0,0,0,0,0,0,"Bootstrap, CSS, HTML, JavaScript, WordPress, Java, Python"
40,40,ML0041,1,1,1,0,0,0,0,0,0,0,0,0,0,"C Programming, C++ Programming, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, R Programming"
41,41,ML0042,1,0,0,3,0,3,2,3,0,0,0,0,0,"Android, Java, Adobe Photoshop, Machine Learning, Python"
42,42,ML0043,1,2,0,0,0,2,0,2,0,0,0,0,0,"English Proficiency (Spoken), Data Analytics, MS-Excel, Machine Learning, R Programming, Tableau, Python"
43,43,ML0044,2,2,0,0,0,0,0,0,0,0,0,0,0,"C Programming, Data Analytics, Data Science, Python, R Programming, MS-Excel, Machine Learning, SQL, Statistical Modeling, Tableau"
44,44,ML0045,2,0,0,0,0,0,0,0,0,0,0,0,0,"Algorithms, C++ Programming, Data Analytics, Data Structures, Machine Learning, Mathematics, Python"
45,45,ML0046,3,0,2,0,0,0,0,0,0,0,0,0,0,"Image Processing, Machine Learning, Mathematics, Python, Computer Vision, Deep Learning, OpenCV, Django"
46,46,ML0047,0,0,0,2,2,2,2,2,0,2,0,0,0,"AutoCAD, Embedded Systems, MATLAB"
47,47,ML0048,2,0,2,0,0,2,0,0,0,0,0,0,0,"C Programming, C++ Programming, Deep Learning, Machine Learning, Python"
48,48,ML0049,2,0,0,2,0,2,2,1,0,0,0,0,0,"Machine Learning, Python, SQL"
49,49,ML0050,2,0,0,0,0,2,2,1,0,0,0,0,0,"Python, Computer Vision, Image Processing, Machine Learning, Natural Language Processing (NLP), OpenCV"
50,50,ML0051,1,0,0,0,0,0,0,0,0,0,0,0,0,"HTML, Java, MS-Word, C Programming, Python"
51,51,ML0052,2,0,0,2,0,2,2,3,0,0,0,0,0,"Artifical Intelligence, Machine Learning, Python, SQL, Statistical Modeling, MongoDB"
52,52,ML0053,2,0,2,2,0,2,2,0,0,0,0,0,0,"Deep Learning, Machine Learning, Python, Artifical Intelligence, Natural Language Processing (NLP)"
53,53,ML0054,1,0,0,0,0,2,0,0,0,0,0,0,0,"AngularJS, CSS, HTML, Java, JavaScript, MySQL, Node.js, ReactJS, Python"
54,54,ML0055,2,2,0,2,0,2,2,0,0,0,0,0,0,"MS-Word, Statistical Modeling, MS-Excel, MS-Office, Mathematics, Python, R Programming, Data Analytics"
55,55,ML0056,2,2,2,0,0,0,0,0,0,0,0,0,0,"C Programming, Data Structures, Deep Learning, Machine Learning, MySQL, Natural Language Processing (NLP), Python, R Programming, Computer Vision, Django, Hadoop"
56,56,ML0057,0,0,0,0,0,2,0,0,0,0,0,0,0,"Data Analytics, Machine Learning, Database Management System (DBMS)"
57,57,ML0058,3,0,0,2,0,3,2,0,0,0,0,0,0,"C Programming, C++ Programming, Python, Java, HTML, JavaScript, SQL"
58,58,ML0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,ML0060,3,1,0,3,0,2,2,0,0,3,0,0,0,"Data Analytics, Machine Learning, MySQL, Python, Statistical Modeling, BIG DATA ANALYTICS, MS-Excel, SAS, R Programming"
60,60,ML0061,3,0,3,0,0,0,0,0,0,0,0,0,0,"Computer Vision, Deep Learning, Image Processing, Neural Networks, Python, Data Analytics"
61,61,ML0062,1,0,0,0,0,0,0,2,0,0,0,0,0,"AutoCAD, Autodesk Inventor, C Programming, SolidWorks, ANSYS, C++ Programming, GNU Octave, MATLAB, Arduino, Autodesk SketchBook, HTML, Machine Learning, Python"
62,62,ML0063,2,2,0,0,0,0,0,0,0,0,0,0,0,"BIG DATA ANALYTICS, Data Analytics, Database Management System (DBMS), Linux, Machine Learning, Python, R Programming, SQL, Java"
63,63,ML0064,2,2,0,0,0,0,0,0,0,0,0,0,0,"MS-Office, C Programming, Python, R Programming, Visual Basic (VB), C++ Programming, MS SQL Server, NoSQL"
64,64,ML0065,2,2,0,0,0,2,0,0,0,0,0,0,0,"English Proficiency (Spoken), Data Analytics, MS-Excel, Machine Learning, Python, R Programming"
65,65,ML0066,2,0,0,0,0,3,3,2,0,3,0,0,0,"C Programming, C++ Programming, Data Analytics, Data Structures, Database Management System (DBMS), Python, Machine Learning"
66,66,ML0067,2,0,0,2,3,3,3,3,0,0,0,0,0,"Data Analytics, English Proficiency (Spoken), Hindi Proficiency (Spoken), MS-Excel, MS-Office, MS-PowerPoint, MS-Word, SQL, C Programming, C++ Programming, Hadoop, Linux, Machine Learning, MySQL, Python, Blockchain, Image Processing"
67,67,ML0068,2,2,0,1,0,0,0,0,0,0,0,0,0,"AutoCAD, Machine Learning, Python, R Programming, SQL, Natural Language Processing (NLP)"
68,68,ML0069,2,0,0,0,0,0,0,0,0,0,0,0,0,"Data Analytics, Data Science, MS-Excel, Machine Learning, Python"
69,69,ML0070,2,0,0,0,0,0,0,0,0,0,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), MS-Word, Machine Learning, MySQL, Python, WordPress, Java"
70,70,ML0071,3,0,0,0,2,3,0,2,0,0,0,0,0,"Algorithms, C Programming, C++ Programming, Data Analytics, Data Science, Data Structures, MS-Excel, MS-Word, Machine Learning, Python, Statistical Modeling, Database Management System (DBMS), SQL"
71,71,ML0072,1,2,0,2,2,2,2,2,0,0,0,0,0,"Algorithms, Cloud Computing, Database Management System (DBMS), MS-Excel, MS-Word, Machine Learning, Mathematics, R Programming, Statistical Modeling, Python, SPSS"
72,72,ML0073,2,2,0,0,0,1,1,1,0,0,0,0,0,"MS-Excel, Machine Learning, Python, R Programming, MS-Office"
73,73,ML0074,2,0,0,0,0,2,2,2,0,0,0,0,2,"English Proficiency (Spoken), HTML, Java, MS-Excel, Python, Data Analytics"
74,74,ML0075,1,0,1,0,0,0,0,0,0,0,0,0,0,"HTML, JavaScript, Data Analytics, Deep Learning, Machine Learning, Neural Networks, Python"
75,75,ML0076,1,0,0,2,0,2,2,0,0,0,0,0,0,"Android, C Programming, C++ Programming, Computer Networks, Data Structures, Database Management System (DBMS), English Proficiency (Spoken), English Proficiency (Written), HTML, Java, MS-Office, MS-PowerPoint, MS-Word, Adobe Photoshop, CSS, Linux, PHP, Python, XML"
76,76,ML0077,3,3,3,0,0,2,0,0,0,0,0,0,0,"Adobe Photoshop, CSS, Computer Vision, Data Analytics, Deep Learning, HTML, JavaScript, MATLAB, Machine Learning, Natural Language Processing (NLP), Python, R Programming, MS-Excel, PHP, jQuery"
77,77,ML0078,2,0,0,2,0,2,2,0,0,0,0,0,0,"Data Analytics, Machine Learning, Python"
78,78,ML0079,2,1,0,0,0,0,0,0,0,0,0,0,0,"Machine Learning, Python, SQL, Database Testing, R Programming"
79,79,ML0080,1,0,0,0,0,2,0,0,0,0,0,0,0,"English Proficiency (Spoken), MS-Excel, Data Analytics, Machine Learning, Python"
80,80,ML0081,2,2,0,2,0,3,2,0,0,0,0,0,0,"MS-Excel, MS-Office, MS-PowerPoint, Machine Learning, Python, R Programming, SPSS, Statistical Modeling, C++ Programming, Google Analytics, Six Sigma"
81,81,ML0082,3,2,0,0,0,0,0,0,0,0,0,0,0,"Data Analytics, MS-Word, Python, Event Management, MS-Office, MS-PowerPoint, R Programming, SQL"
82,82,ML0083,2,0,2,3,0,2,2,0,0,3,0,0,0,"Deep Learning, Machine Learning, Python, Algorithms, Artifical Intelligence, C Programming, C++ Programming, Computer Vision, GitHub, Java"
83,83,ML0084,2,0,0,0,0,0,0,0,0,0,0,0,0,"Python, SQL"
84,84,ML0085,2,2,0,0,0,0,0,2,0,0,0,0,0,"Machine Learning, Python, R Programming, Statistical Modeling, Apache, Hadoop"
85,85,ML0086,2,0,0,0,0,0,0,0,0,0,0,0,0,"Machine Learning, Python"
86,86,ML0087,2,0,1,0,0,0,0,0,0,0,0,0,0,"Artifical Intelligence, Django, Python, Deep Learning, Machine Learning"
87,87,ML0088,2,0,2,0,0,2,0,0,0,0,0,0,0,"C Programming, Data Structures, Database Management System (DBMS), Deep Learning, Machine Learning, Python"
88,88,ML0089,1,0,0,0,0,3,3,2,0,3,0,0,0,"SAP, Machine Learning, Python"
89,89,ML0090,1,0,0,2,3,3,3,3,0,0,0,0,0,"MS-Excel, MS-Office, Machine Learning, Python"
90,90,ML0091,2,2,2,1,0,0,0,0,0,0,0,0,0,"Linux, Data Analytics, Deep Learning, Image Processing, Java, Machine Learning, PHP, Python, R Programming, Natural Language Processing (NLP), OpenCV, Statistical Modeling"
91,91,ML0092,2,0,0,0,0,0,0,0,0,0,0,0,0,"C Programming, Internet of Things (IoT), Mathematics, Database Management System (DBMS), HTML, JavaScript, Machine Learning, MySQL, Python, BIG DATA ANALYTICS"
92,92,ML0093,2,0,0,0,0,0,0,0,0,0,0,0,0,"C Programming, HTML, PHP, Python, AngularJS, JavaScript"
93,93,ML0094,3,1,2,0,2,3,0,2,0,0,0,0,0,"English Proficiency (Written), Hindi Proficiency (Written), MS-Excel, MS-PowerPoint, MS-Word, Python, Telugu Proficiency (Spoken), Telugu Proficiency (Written), C Programming, Computer Vision, Deep Learning, Digital Signal Processing, English Proficiency (Spoken), Hindi Proficiency (Spoken), Image Processing, LaTeX, MATLAB, Machine Learning, NI Multisim, Neural Networks, OpenCV, Proteus Design Suite, Arduino, Artifical Intelligence, R Programming"
94,94,ML0095,2,0,0,2,2,2,2,2,0,0,0,0,0,"Algorithms, C Programming, Computer Networking, Data Structures, Database Management System (DBMS), Java, Python, Amazon Web Services (AWS), Bootstrap, Cloud Computing, Linux, Machine Learning, PHP"
95,95,ML0096,2,2,0,0,0,1,1,1,0,0,0,0,0,"MS-Office, Machine Learning, C Programming, Catia, Neural Networks, Python, R Programming, SAS, SQL"
96,96,ML0097,2,2,0,0,0,2,2,2,0,0,0,0,2,"Data Structures, Machine Learning, Database Management System (DBMS), Natural Language Processing (NLP), Neural Networks, Python, R Programming, SQL, Statistical Modeling"
97,97,ML0098,2,2,0,0,0,0,0,0,0,0,0,0,0,"Data Analytics, MS-Excel, Machine Learning, Python, R Programming, SAS, SQL, Statistical Modeling"
98,98,ML0099,2,0,0,1,0,2,2,2,0,0,0,0,1,"GitHub, Linux, Python, Visual Basic (VB), C++ Programming, Java, JavaScript, SQL"
99,99,ML0100,2,0,0,0,2,3,3,3,0,0,0,0,2,"MS-Office, MS-PowerPoint, Python, SQL"
100,100,ML0101,2,2,0,0,0,2,2,1,0,0,0,0,1,"Data Analytics, Python, R Programming"
101,101,ML0102,1,2,0,0,0,2,2,2,0,0,0,0,1,"R Programming, BIG DATA ANALYTICS, Java, Machine Learning, Python"
102,102,ML0103,3,0,0,0,0,2,0,2,0,0,0,0,2,"C Programming, Python, Adobe Illustrator, Java, Adobe Photoshop"
103,103,ML0104,3,2,0,0,1,0,0,0,0,0,0,0,1,"C Programming, HTML, Java, Python, Android, Data Analytics, Data Science, Golang, JSP, Machine Learning, R Programming, REST API, Software Testing"
104,104,ML0105,2,0,0,0,1,1,0,0,0,0,0,0,2,"Algorithms, C Programming, Data Structures, Database Management System (DBMS), Java, Linux, Python"
105,105,ML0106,2,0,0,0,0,0,0,0,0,0,0,0,1,"Algorithms, C Programming, C++ Programming, CSS, Data Analytics, Data Structures, HTML, Java, JavaScript, Linux, Machine Learning, Python"
106,106,ML0107,3,0,0,0,0,0,0,0,0,0,0,0,1,"Data Analytics, MS-Office, Python, Algorithms, Data Science, Data Structures, Database Management System (DBMS), GitHub, MS-Excel, Machine Learning, Mathematics, OpenCV, SQL, Statistical Modeling, Natural Language Processing (NLP)"
107,107,ML0108,2,0,0,2,0,3,2,2,0,0,0,0,0,"Adobe Photoshop, HTML, Photography, Python, Adobe Illustrator, CSS, Java, Software Testing"
108,108,ML0109,2,0,1,0,0,2,2,1,0,0,0,0,0,"English Proficiency (Spoken), Machine Learning, Python, SQL, Deep Learning, Natural Language Processing (NLP)"
109,109,ML0110,2,0,0,0,0,2,0,0,0,0,0,0,0,"Arduino, C Programming, C++ Programming, Catia, Python, Raspberry Pi"
110,110,ML0111,1,0,0,0,0,3,2,2,0,0,0,0,0,"C Programming, C++ Programming, Cloud Computing, Data Analytics, Data Science, Photography, Python"
111,111,ML0112,2,2,0,1,0,1,1,1,0,0,0,0,1,"Mathematics, Data Analytics, English Proficiency (Written), MS-Office, Python, R Programming"
112,112,ML0113,2,0,0,0,2,2,2,2,0,0,0,0,2,"Computer Vision, Image Processing, Machine Learning, Python"
113,113,ML0114,1,0,0,0,0,0,0,0,0,0,0,0,1,"English Proficiency (Spoken), MS-Excel, English Proficiency (Written), Machine Learning, Python"
114,114,ML0115,2,0,2,0,0,0,0,0,0,0,0,0,2,"Deep Learning, Machine Learning, Natural Language Processing (NLP), Python"
115,115,ML0116,2,0,0,0,0,0,0,0,0,0,0,0,1,"MySQL, C Programming, HTML, Python, CSS"
116,116,ML0117,2,0,1,2,0,3,2,0,0,0,0,0,0,"Data Science, MS-PowerPoint, MS-Word, Machine Learning, Python, Deep Learning"
117,117,ML0118,2,2,1,0,0,0,0,1,0,0,0,0,0,"Machine Learning, Natural Language Processing (NLP), OpenCV, Python, R Programming, Artifical Intelligence, Deep Learning"
118,118,ML0119,1,0,1,0,0,2,2,0,0,0,0,0,0,"Deep Learning, MS-Excel, Machine Learning, Python"
119,119,ML0120,2,0,2,0,0,2,0,0,0,0,0,0,0,"C Programming, C++ Programming, Deep Learning, Machine Learning, Python, SQL"
120,120,ML0121,2,0,0,0,2,2,2,2,0,0,0,2,1,"Algorithms, C Programming, C++ Programming, CSS, Data Structures, HTML, Machine Learning, Python"
121,121,ML0122,2,0,0,0,1,2,2,1,0,0,0,0,2,"Computer Vision, Data Analytics, Machine Learning, Python, SQL, MS-Excel"
122,122,ML0123,1,0,0,0,0,2,2,0,1,0,0,0,1,"Java, Machine Learning, Python"
123,123,ML0124,0,1,0,0,0,2,2,2,0,0,0,0,1,"Data Analytics, English Proficiency (Spoken), Financial Modeling, MS-Excel, Accounting, Digital Marketing, R Programming"
124,124,ML0125,3,2,3,2,2,2,2,2,0,2,0,0,1,"Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, Artifical Intelligence, R Programming"
125,125,ML0126,2,0,0,0,0,0,0,0,0,0,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), Event Management, C Programming, Data Analytics, MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Machine Learning, Physics, Python, SQL, Statistical Modeling"
126,126,ML0127,1,0,0,0,0,0,0,0,0,0,0,0,0,"English Proficiency (Spoken), Catia, MS-Office, C Programming, C++ Programming, Data Analytics, Java, Machine Learning, Python"
127,127,ML0128,2,2,0,0,0,0,0,0,0,0,0,0,0,"MS-Excel, SQL, Machine Learning, Python, R Programming"
128,128,ML0129,2,0,0,0,0,0,0,0,0,0,0,2,0,"Amazon Web Services (AWS), Data Science, Python"
129,129,ML0130,2,0,1,0,3,3,3,3,0,0,0,0,0,"English Proficiency (Spoken), MS-Excel, Data Analytics, Python, Deep Learning, Machine Learning"
130,130,ML0131,2,0,0,2,0,0,0,0,0,0,0,0,0,"C++ Programming, Java, Blockchain, C Programming, Python, Servlets, AJAX, CSS, Data Science, HTML, J2EE, JavaScript, Machine Learning, Neural Networks"
131,131,ML0132,2,0,0,0,0,3,2,2,0,0,0,0,0,"SQL, Algorithms, Data Analytics, Data Structures, MS-Excel, Machine Learning, Mathematics, Python"
132,132,ML0133,2,0,0,2,1,0,0,0,0,0,0,0,0,"Machine Learning, Python, Data Analytics, Power BI, SQL"
133,133,ML0134,2,0,0,0,0,0,0,0,0,0,0,0,0,"Data Analytics, English Proficiency (Spoken), Machine Learning, Python"
134,134,ML0135,2,0,0,0,2,2,2,1,1,1,0,0,0,"Data Analytics, Linear Programming, MS-Excel, Machine Learning, Python, SQL, Statistical Modeling"
135,135,ML0136,2,2,0,2,0,2,2,0,0,0,0,0,0,"Data Analytics, MS-Office, Python, R Programming, SAS"
136,136,ML0137,2,2,0,1,0,2,2,1,0,0,0,0,0,"Data Analytics, Data Science, Python, R Programming, SAS"
137,137,ML0138,2,3,0,0,0,2,1,0,0,0,0,0,0,"R Programming, MS-Excel, MS-PowerPoint, MS-Word, Python, Hadoop, Java, Linux, Machine Learning"
138,138,ML0139,0,1,2,2,2,2,2,2,0,0,0,0,0,"CSS, HTML, Adobe Dreamweaver, BIG DATA ANALYTICS, C Programming, Computer Networking, Computer Networks, Data Analytics, Deep Learning, Image Processing, Machine Learning, MongoDB, NoSQL, SQL, C++ Programming, Data Structures, Ethical Hacking, R Programming"
139,139,ML0140,2,0,2,2,2,3,3,2,0,2,2,2,0,"Data Analytics, Deep Learning, Machine Learning, MySQL, Python, Statistical Modeling"
140,140,ML0141,2,0,0,0,0,2,1,2,0,0,1,1,1,"Python, Data Analytics, Data Science, Java, Machine Learning"
141,141,ML0142,1,0,0,0,0,0,0,0,0,0,0,0,0,"Computer Vision, Data Analytics, MS-Excel, MySQL, Python"
142,142,ML0143,2,2,0,0,0,2,2,0,0,0,0,0,0,"HTML, C Programming, CSS, Data Analytics, Java, MS-Excel, MySQL, PHP, Python, R Programming, Machine Learning"
143,143,ML0144,2,0,2,0,0,0,0,0,0,0,0,0,0,"Algorithms, Articulate Storyline, Audacity, AutoCAD, Data Analytics, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, SQL"
144,144,ML0145,2,3,0,0,2,0,2,2,0,0,0,0,0,"Data Analytics, Data Science, MS-Excel, Machine Learning, R Programming, MongoDB, Python, Statistical Modeling, Tableau"
145,145,ML0146,3,0,0,0,0,2,0,0,0,0,0,0,0,"MS-Excel, Machine Learning, Python, SQL"
146,146,ML0147,2,0,0,0,0,2,2,1,0,0,0,0,0,"MS-Excel, Python, Machine Learning"
147,147,ML0148,2,0,2,0,0,0,0,0,0,0,0,0,0,"Machine Learning, Data Analytics, Deep Learning, MySQL, Natural Language Processing (NLP), Neural Networks, Python, OpenCV"
148,148,ML0149,2,0,2,1,0,1,1,1,0,0,0,0,0,"Deep Learning, Java, Machine Learning, Python"
149,149,ML0150,1,0,0,1,1,1,1,0,0,0,0,0,0,"MS-PowerPoint, MS-Word, Data Analytics, Python, SQL"
150,150,ML0151,1,0,0,0,0,2,2,0,0,0,0,0,0,"English Proficiency (Spoken), Java, MS-Excel, SQL, Data Analytics, Machine Learning, Python"
151,151,ML0152,1,2,0,1,0,1,1,1,0,0,0,0,0,"MS-Excel, R Programming, Data Structures, Python, SQL"
152,152,ML0153,3,0,1,0,0,1,1,1,0,0,0,0,0,"MS-Excel, PostgreSQL, Python, SAS, BIG DATA ANALYTICS, GitHub, Natural Language Processing (NLP), OpenCV, Deep Learning, MongoDB"
153,153,ML0154,2,0,0,0,0,2,2,0,0,2,0,0,0,"C Programming, Image Processing, Java, Machine Learning, Python, Neural Networks, SQL"
154,154,ML0155,2,0,2,0,2,2,2,1,0,2,0,0,0,"Computer Vision, Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks, OpenCV, Python"
155,155,ML0156,2,0,0,0,0,0,0,0,0,0,0,0,0,"C Programming, Data Science, Database Management System (DBMS), HTML, Machine Learning, OpenCV, Python, Django, MySQL"
156,156,ML0157,3,1,0,1,2,1,2,0,0,2,0,0,0,"Python, Data Structures, Flask, SQL, R Programming"
157,157,ML0158,1,0,0,2,0,2,2,2,0,0,0,0,0,"HTML, MS-Office, Adobe Flash, Algorithms, C++ Programming, Data Structures, Eclipse (IDE), GitHub, Java, Linux, Machine Learning, MySQL, Node.js, PHP, Robotics, Software Testing, Android, Kotlin, Python"
158,158,ML0159,3,0,0,2,3,3,2,2,0,2,0,2,0,"Python, Algorithms, Data Structures, Django, Machine Learning, Statistical Modeling"
159,159,ML0160,2,0,2,0,0,0,0,0,0,0,0,0,0,"Algorithms, C++ Programming, Data Structures, Deep Learning, Machine Learning, OpenCV, Python"
160,160,ML0161,3,0,0,0,0,0,0,0,0,0,0,0,0,"C Programming, Java, MS-Word, Python, Cloud Computing, Django, Image Processing, MS-Office, SQL, JavaScript, PHP"
161,161,ML0162,0,0,0,3,0,3,2,3,0,0,0,0,0,"Adobe Photoshop, MS-Office, ANSYS, Adobe Illustrator, Java, MATLAB, SPSS"
162,162,ML0163,2,0,0,0,0,2,0,2,0,0,0,0,0,"Data Analytics, Machine Learning, Python"
163,163,ML0164,2,0,0,0,0,0,0,0,0,0,0,0,0,"Data Science, Image Processing, Python"
164,164,ML0165,1,1,0,0,0,0,0,0,0,0,0,0,0,"C Programming, C++ Programming, Catia, Data Analytics, Data Science, MS-Excel, MS-Office, MySQL, SAP, SolidWorks, Algorithms, Python, R Programming, Statistical Modeling, Tableau"
165,165,ML0166,2,0,1,0,0,0,0,0,0,0,0,0,0,"C Programming, C++ Programming, MySQL, Neural Networks, Oracle, Python, Data Analytics, Data Science, Deep Learning, Machine Learning"
166,166,ML0167,1,1,0,2,2,2,2,2,0,2,0,0,0,"MS-Excel, Python, R Programming, SQL"
167,167,ML0168,1,1,0,0,0,2,0,0,0,0,0,0,0,"MS-Excel, SQL, Machine Learning, Python, R Programming"
168,168,ML0169,2,0,0,2,0,2,2,1,0,0,0,0,0,"Data Analytics, Database Management System (DBMS), Python, Machine Learning"
169,169,ML0170,0,0,0,0,0,2,2,1,0,0,0,0,0,0
170,170,ML0171,2,2,0,0,0,0,0,0,0,0,0,0,0,"CSS, HTML, JavaScript, jQuery, .NET, ASP.NET, Adobe Photoshop Lightroom CC, C#.NET, Machine Learning, Python, R Programming, SQL"
171,171,ML0172,3,3,0,2,0,2,2,3,0,0,0,0,0,"Artifical Intelligence, MS-Excel, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python, R Programming"
