,Application_ID,Python (out of 3),R Programming (out of 3),Deep Learning (out of 3),PHP (out of 3),MySQL (out of 3),HTML (out of 3),CSS (out of 3),JavaScript (out of 3),AJAX (out of 3),Bootstrap (out of 3),MongoDB (out of 3),Node.js (out of 3),ReactJS (out of 3),Other skills,Data_Scientist_Total,Web_Development_Total,Web_Development_Eligibility,Data_Scientist_Eligibility,Post Assigned
59,ML0063,2,2,0,0,0,0,0,0,0,0,0,0,0,"BIG DATA ANALYTICS, Data Analytics, Database Management System (DBMS), Linux, Machine Learning, Python, R Programming, SQL, Java",7,0,0,0,0
60,ML0064,2,2,0,0,0,0,0,0,0,0,0,0,0,"MS-Office, C Programming, Python, R Programming, Visual Basic (VB), C++ Programming, MS SQL Server, NoSQL",4,0,0,0,0
61,ML0065,2,2,0,0,0,2,0,0,0,0,0,0,0,"English Proficiency (Spoken), Data Analytics, MS-Excel, Machine Learning, Python, R Programming",6,2,0,0,0
62,ML0066,2,0,0,0,0,3,3,2,0,3,0,0,0,"C Programming, C++ Programming, Data Analytics, Data Structures, Database Management System (DBMS), Python, Machine Learning",5,11,0,0,0
63,ML0067,2,0,0,2,3,3,3,3,0,0,0,0,0,"Data Analytics, English Proficiency (Spoken), Hindi Proficiency (Spoken), MS-Excel, MS-Office, MS-PowerPoint, MS-Word, SQL, C Programming, C++ Programming, Hadoop, Linux, Machine Learning, MySQL, Python, Blockchain, Image Processing",9,11,1,0,2
64,ML0068,2,2,0,1,0,0,0,0,0,0,0,0,0,"AutoCAD, Machine Learning, Python, R Programming, SQL, Natural Language Processing (NLP)",6,1,0,0,0
65,ML0069,2,0,0,0,0,0,0,0,0,0,0,0,0,"Data Analytics, Data Science, MS-Excel, Machine Learning, Python",4,0,0,0,0
66,ML0070,2,0,0,0,0,0,0,0,0,0,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), MS-Word, Machine Learning, MySQL, Python, WordPress, Java",4,0,0,0,0
67,ML0071,3,0,0,0,2,3,0,2,0,0,0,0,0,"Algorithms, C Programming, C++ Programming, Data Analytics, Data Science, Data Structures, MS-Excel, MS-Word, Machine Learning, Python, Statistical Modeling, Database Management System (DBMS), SQL",10,5,1,0,2
68,ML0072,1,2,0,2,2,2,2,2,0,0,0,0,0,"Algorithms, Cloud Computing, Database Management System (DBMS), MS-Excel, MS-Word, Machine Learning, Mathematics, R Programming, Statistical Modeling, Python, SPSS",10,8,1,0,2
69,ML0073,2,2,0,0,0,1,1,1,0,0,0,0,0,"MS-Excel, Machine Learning, Python, R Programming, MS-Office",5,3,0,0,0
70,ML0074,2,0,0,0,0,2,2,2,0,0,0,0,2,"English Proficiency (Spoken), HTML, Java, MS-Excel, Python, Data Analytics",3,8,0,0,0
71,ML0075,1,0,1,0,0,0,0,0,0,0,0,0,0,"HTML, JavaScript, Data Analytics, Deep Learning, Machine Learning, Neural Networks, Python",5,0,0,0,0
72,ML0076,1,0,0,2,0,2,2,0,0,0,0,0,0,"Android, C Programming, C++ Programming, Computer Networks, Data Structures, Database Management System (DBMS), English Proficiency (Spoken), English Proficiency (Written), HTML, Java, MS-Office, MS-PowerPoint, MS-Word, Adobe Photoshop, CSS, Linux, PHP, Python, XML",2,8,0,0,0
73,ML0077,3,3,3,0,0,2,0,0,0,0,0,0,0,"Adobe Photoshop, CSS, Computer Vision, Data Analytics, Deep Learning, HTML, JavaScript, MATLAB, Machine Learning, Natural Language Processing (NLP), Python, R Programming, MS-Excel, PHP, jQuery",15,4,1,1,3
74,ML0078,2,0,0,2,0,2,2,0,0,0,0,0,0,"Data Analytics, Machine Learning, Python",4,6,0,0,0
75,ML0079,2,1,0,0,0,0,0,0,0,0,0,0,0,"Machine Learning, Python, SQL, Database Testing, R Programming",4,0,0,0,0
76,ML0080,1,0,0,0,0,2,0,0,0,0,0,0,0,"English Proficiency (Spoken), MS-Excel, Data Analytics, Machine Learning, Python",3,2,0,0,0
77,ML0081,2,2,0,2,0,3,2,0,0,0,0,0,0,"MS-Excel, MS-Office, MS-PowerPoint, Machine Learning, Python, R Programming, SPSS, Statistical Modeling, C++ Programming, Google Analytics, Six Sigma",7,7,0,0,0
78,ML0082,3,2,0,0,0,0,0,0,0,0,0,0,0,"Data Analytics, MS-Word, Python, Event Management, MS-Office, MS-PowerPoint, R Programming, SQL",6,0,0,0,0
79,ML0083,2,0,2,3,0,2,2,0,0,3,0,0,0,"Deep Learning, Machine Learning, Python, Algorithms, Artifical Intelligence, C Programming, C++ Programming, Computer Vision, GitHub, Java",9,10,1,0,2
80,ML0084,2,0,0,0,0,0,0,0,0,0,0,0,0,"Python, SQL",2,0,0,0,0
81,ML0085,2,2,0,0,0,0,0,2,0,0,0,0,0,"Machine Learning, Python, R Programming, Statistical Modeling, Apache, Hadoop",8,2,0,0,0
82,ML0086,2,0,0,0,0,0,0,0,0,0,0,0,0,"Machine Learning, Python",3,0,0,0,0
83,ML0087,2,0,1,0,0,0,0,0,0,0,0,0,0,"Artifical Intelligence, Django, Python, Deep Learning, Machine Learning",6,1,0,0,0
84,ML0088,2,0,2,0,0,2,0,0,0,0,0,0,0,"C Programming, Data Structures, Database Management System (DBMS), Deep Learning, Machine Learning, Python",7,2,0,0,0
85,ML0089,1,0,0,0,0,3,3,2,0,3,0,0,0,"SAP, Machine Learning, Python",2,11,0,0,0
86,ML0090,1,0,0,2,3,3,3,3,0,0,0,0,0,"MS-Excel, MS-Office, Machine Learning, Python",5,11,0,0,0
87,ML0091,2,2,2,1,0,0,0,0,0,0,0,0,0,"Linux, Data Analytics, Deep Learning, Image Processing, Java, Machine Learning, PHP, Python, R Programming, Natural Language Processing (NLP), OpenCV, Statistical Modeling",12,1,1,1,3
88,ML0092,2,0,0,0,0,0,0,0,0,0,0,0,0,"C Programming, Internet of Things (IoT), Mathematics, Database Management System (DBMS), HTML, JavaScript, Machine Learning, MySQL, Python, BIG DATA ANALYTICS",4,0,0,0,0
89,ML0093,2,0,0,0,0,0,0,0,0,0,0,0,0,"C Programming, HTML, PHP, Python, AngularJS, JavaScript",3,0,0,0,0
90,ML0094,3,1,2,0,2,3,0,2,0,0,0,0,0,"English Proficiency (Written), Hindi Proficiency (Written), MS-Excel, MS-PowerPoint, MS-Word, Python, Telugu Proficiency (Spoken), Telugu Proficiency (Written), C Programming, Computer Vision, Deep Learning, Digital Signal Processing, English Proficiency (Spoken), Hindi Proficiency (Spoken), Image Processing, LaTeX, MATLAB, Machine Learning, NI Multisim, Neural Networks, OpenCV, Proteus Design Suite, Arduino, Artifical Intelligence, R Programming",14,5,1,1,3
91,ML0095,2,0,0,2,2,2,2,2,0,0,0,0,0,"Algorithms, C Programming, Computer Networking, Data Structures, Database Management System (DBMS), Java, Python, Amazon Web Services (AWS), Bootstrap, Cloud Computing, Linux, Machine Learning, PHP",8,8,0,0,0
92,ML0096,2,2,0,0,0,1,1,1,0,0,0,0,0,"MS-Office, Machine Learning, C Programming, Catia, Neural Networks, Python, R Programming, SAS, SQL",5,3,0,0,0
93,ML0097,2,2,0,0,0,2,2,2,0,0,0,0,2,"Data Structures, Machine Learning, Database Management System (DBMS), Natural Language Processing (NLP), Neural Networks, Python, R Programming, SQL, Statistical Modeling",8,8,0,0,0
94,ML0098,2,2,0,0,0,0,0,0,0,0,0,0,0,"Data Analytics, MS-Excel, Machine Learning, Python, R Programming, SAS, SQL, Statistical Modeling",7,0,0,0,0
95,ML0099,2,0,0,1,0,2,2,2,0,0,0,0,1,"GitHub, Linux, Python, Visual Basic (VB), C++ Programming, Java, JavaScript, SQL",2,8,0,0,0
96,ML0100,2,0,0,0,2,3,3,3,0,0,0,0,2,"MS-Office, MS-PowerPoint, Python, SQL",4,11,0,0,0
97,ML0101,2,2,0,0,0,2,2,1,0,0,0,0,1,"Data Analytics, Python, R Programming",5,6,0,0,0
98,ML0102,1,2,0,0,0,2,2,2,0,0,0,0,1,"R Programming, BIG DATA ANALYTICS, Java, Machine Learning, Python",5,7,0,0,0
99,ML0103,3,0,0,0,0,2,0,2,0,0,0,0,2,"C Programming, Python, Adobe Illustrator, Java, Adobe Photoshop",3,7,0,0,0
100,ML0104,3,2,0,0,1,0,0,0,0,0,0,0,1,"C Programming, HTML, Java, Python, Android, Data Analytics, Data Science, Golang, JSP, Machine Learning, R Programming, REST API, Software Testing",8,1,0,0,0
101,ML0105,2,0,0,0,1,1,0,0,0,0,0,0,2,"Algorithms, C Programming, Data Structures, Database Management System (DBMS), Java, Linux, Python",5,3,0,0,0
102,ML0106,2,0,0,0,0,0,0,0,0,0,0,0,1,"Algorithms, C Programming, C++ Programming, CSS, Data Analytics, Data Structures, HTML, Java, JavaScript, Linux, Machine Learning, Python",6,1,0,0,0
103,ML0107,3,0,0,0,0,0,0,0,0,0,0,0,1,"Data Analytics, MS-Office, Python, Algorithms, Data Science, Data Structures, Database Management System (DBMS), GitHub, MS-Excel, Machine Learning, Mathematics, OpenCV, SQL, Statistical Modeling, Natural Language Processing (NLP)",9,1,1,0,2
104,ML0108,2,0,0,2,0,3,2,2,0,0,0,0,0,"Adobe Photoshop, HTML, Photography, Python, Adobe Illustrator, CSS, Java, Software Testing",2,10,0,0,0
105,ML0109,2,0,1,0,0,2,2,1,0,0,0,0,0,"English Proficiency (Spoken), Machine Learning, Python, SQL, Deep Learning, Natural Language Processing (NLP)",6,5,0,0,0
106,ML0110,2,0,0,0,0,2,0,0,0,0,0,0,0,"Arduino, C Programming, C++ Programming, Catia, Python, Raspberry Pi",2,2,0,0,0
107,ML0111,1,0,0,0,0,3,2,2,0,0,0,0,0,"C Programming, C++ Programming, Cloud Computing, Data Analytics, Data Science, Photography, Python",3,7,0,0,0
108,ML0112,2,2,0,1,0,1,1,1,0,0,0,0,1,"Mathematics, Data Analytics, English Proficiency (Written), MS-Office, Python, R Programming",5,5,0,0,0
109,ML0113,2,0,0,0,2,2,2,2,0,0,0,0,2,"Computer Vision, Image Processing, Machine Learning, Python",7,8,0,0,0
110,ML0114,1,0,0,0,0,0,0,0,0,0,0,0,1,"English Proficiency (Spoken), MS-Excel, English Proficiency (Written), Machine Learning, Python",2,1,0,0,0
111,ML0115,2,0,2,0,0,0,0,0,0,0,0,0,2,"Deep Learning, Machine Learning, Natural Language Processing (NLP), Python",7,2,0,0,0
112,ML0116,2,0,0,0,0,0,0,0,0,0,0,0,1,"MySQL, C Programming, HTML, Python, CSS",2,1,0,0,0
113,ML0117,2,0,1,2,0,3,2,0,0,0,0,0,0,"Data Science, MS-PowerPoint, MS-Word, Machine Learning, Python, Deep Learning",5,7,0,0,0
114,ML0118,2,2,1,0,0,0,0,1,0,0,0,0,0,"Machine Learning, Natural Language Processing (NLP), OpenCV, Python, R Programming, Artifical Intelligence, Deep Learning",9,1,1,0,2
115,ML0119,1,0,1,0,0,2,2,0,0,0,0,0,0,"Deep Learning, MS-Excel, Machine Learning, Python",4,4,0,0,0
116,ML0120,2,0,2,0,0,2,0,0,0,0,0,0,0,"C Programming, C++ Programming, Deep Learning, Machine Learning, Python, SQL",6,2,0,0,0
117,ML0121,2,0,0,0,2,2,2,2,0,0,0,2,1,"Algorithms, C Programming, C++ Programming, CSS, Data Structures, HTML, Machine Learning, Python",7,9,0,0,0
118,ML0122,2,0,0,0,1,2,2,1,0,0,0,0,2,"Computer Vision, Data Analytics, Machine Learning, Python, SQL, MS-Excel",6,7,0,0,0
119,ML0123,1,0,0,0,0,2,2,0,1,0,0,0,1,"Java, Machine Learning, Python",2,6,0,0,0
120,ML0124,0,1,0,0,0,2,2,2,0,0,0,0,1,"Data Analytics, English Proficiency (Spoken), Financial Modeling, MS-Excel, Accounting, Digital Marketing, R Programming",2,7,0,0,0
121,ML0125,3,2,3,2,2,2,2,2,0,2,0,0,1,"Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, Artifical Intelligence, R Programming",14,11,1,1,3
122,ML0126,2,0,0,0,0,0,0,0,0,0,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), Event Management, C Programming, Data Analytics, MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Machine Learning, Physics, Python, SQL, Statistical Modeling",5,0,0,0,0
123,ML0127,1,0,0,0,0,0,0,0,0,0,0,0,0,"English Proficiency (Spoken), Catia, MS-Office, C Programming, C++ Programming, Data Analytics, Java, Machine Learning, Python",3,0,0,0,0
124,ML0128,2,2,0,0,0,0,0,0,0,0,0,0,0,"MS-Excel, SQL, Machine Learning, Python, R Programming",5,0,0,0,0
125,ML0129,2,0,0,0,0,0,0,0,0,0,0,2,0,"Amazon Web Services (AWS), Data Science, Python",2,2,0,0,0
126,ML0130,2,0,1,0,3,3,3,3,0,0,0,0,0,"English Proficiency (Spoken), MS-Excel, Data Analytics, Python, Deep Learning, Machine Learning",9,9,1,0,2
127,ML0131,2,0,0,2,0,0,0,0,0,0,0,0,0,"C++ Programming, Java, Blockchain, C Programming, Python, Servlets, AJAX, CSS, Data Science, HTML, J2EE, JavaScript, Machine Learning, Neural Networks",3,2,0,0,0
128,ML0132,2,0,0,0,0,3,2,2,0,0,0,0,0,"SQL, Algorithms, Data Analytics, Data Structures, MS-Excel, Machine Learning, Mathematics, Python",6,7,0,0,0
129,ML0133,2,0,0,2,1,0,0,0,0,0,0,0,0,"Machine Learning, Python, Data Analytics, Power BI, SQL",6,2,0,0,0
130,ML0134,2,0,0,0,0,0,0,0,0,0,0,0,0,"Data Analytics, English Proficiency (Spoken), Machine Learning, Python",4,0,0,0,0
131,ML0135,2,0,0,0,2,2,2,1,1,1,0,0,0,"Data Analytics, Linear Programming, MS-Excel, Machine Learning, Python, SQL, Statistical Modeling",7,7,0,0,0
132,ML0136,2,2,0,2,0,2,2,0,0,0,0,0,0,"Data Analytics, MS-Office, Python, R Programming, SAS",5,6,0,0,0
133,ML0137,2,2,0,1,0,2,2,1,0,0,0,0,0,"Data Analytics, Data Science, Python, R Programming, SAS",5,6,0,0,0
134,ML0138,2,3,0,0,0,2,1,0,0,0,0,0,0,"R Programming, MS-Excel, MS-PowerPoint, MS-Word, Python, Hadoop, Java, Linux, Machine Learning",7,3,0,0,0
135,ML0139,0,1,2,2,2,2,2,2,0,0,0,0,0,"CSS, HTML, Adobe Dreamweaver, BIG DATA ANALYTICS, C Programming, Computer Networking, Computer Networks, Data Analytics, Deep Learning, Image Processing, Machine Learning, MongoDB, NoSQL, SQL, C++ Programming, Data Structures, Ethical Hacking, R Programming",11,8,1,1,3
136,ML0140,2,0,2,2,2,3,3,2,0,2,2,2,0,"Data Analytics, Deep Learning, Machine Learning, MySQL, Python, Statistical Modeling",12,14,1,1,3
137,ML0141,2,0,0,0,0,2,1,2,0,0,1,1,1,"Python, Data Analytics, Data Science, Java, Machine Learning",5,7,0,0,0
138,ML0142,1,0,0,0,0,0,0,0,0,0,0,0,0,"Computer Vision, Data Analytics, MS-Excel, MySQL, Python",3,0,0,0,0
139,ML0143,2,2,0,0,0,2,2,0,0,0,0,0,0,"HTML, C Programming, CSS, Data Analytics, Java, MS-Excel, MySQL, PHP, Python, R Programming, Machine Learning",6,4,0,0,0
140,ML0144,2,0,2,0,0,0,0,0,0,0,0,0,0,"Algorithms, Articulate Storyline, Audacity, AutoCAD, Data Analytics, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, SQL",9,0,1,0,2
141,ML0145,2,3,0,0,2,0,2,2,0,0,0,0,0,"Data Analytics, Data Science, MS-Excel, Machine Learning, R Programming, MongoDB, Python, Statistical Modeling, Tableau",11,4,1,1,3
142,ML0146,3,0,0,0,0,2,0,0,0,0,0,0,0,"MS-Excel, Machine Learning, Python, SQL",4,2,0,0,0
143,ML0147,2,0,0,0,0,2,2,1,0,0,0,0,0,"MS-Excel, Python, Machine Learning",3,5,0,0,0
144,ML0148,2,0,2,0,0,0,0,0,0,0,0,0,0,"Machine Learning, Data Analytics, Deep Learning, MySQL, Natural Language Processing (NLP), Neural Networks, Python, OpenCV",8,0,0,0,0
145,ML0149,2,0,2,1,0,1,1,1,0,0,0,0,0,"Deep Learning, Java, Machine Learning, Python",6,4,0,0,0
146,ML0150,1,0,0,1,1,1,1,0,0,0,0,0,0,"MS-PowerPoint, MS-Word, Data Analytics, Python, SQL",3,3,0,0,0
147,ML0151,1,0,0,0,0,2,2,0,0,0,0,0,0,"English Proficiency (Spoken), Java, MS-Excel, SQL, Data Analytics, Machine Learning, Python",3,4,0,0,0
148,ML0152,1,2,0,1,0,1,1,1,0,0,0,0,0,"MS-Excel, R Programming, Data Structures, Python, SQL",4,4,0,0,0
149,ML0153,3,0,1,0,0,1,1,1,0,0,0,0,0,"MS-Excel, PostgreSQL, Python, SAS, BIG DATA ANALYTICS, GitHub, Natural Language Processing (NLP), OpenCV, Deep Learning, MongoDB",8,3,0,0,0
150,ML0154,2,0,0,0,0,2,2,0,0,2,0,0,0,"C Programming, Image Processing, Java, Machine Learning, Python, Neural Networks, SQL",4,6,0,0,0
151,ML0155,2,0,2,0,2,2,2,1,0,2,0,0,0,"Computer Vision, Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks, OpenCV, Python",10,7,1,0,2
152,ML0156,2,0,0,0,0,0,0,0,0,0,0,0,0,"C Programming, Data Science, Database Management System (DBMS), HTML, Machine Learning, OpenCV, Python, Django, MySQL",3,1,0,0,0
153,ML0157,3,1,0,1,2,1,2,0,0,2,0,0,0,"Python, Data Structures, Flask, SQL, R Programming",8,6,0,0,0
